sample_index,frame_gpu_span_ms,path_tracer_ms,primary_rays_ms,restir_spatial_0_ms,restir_temporal_ms,dlss_evaluate_ms,cpu_frame_ms,cpu_render_ms
137,9.657344,5.634048,1.526784,1.946624,1.714176,3.655680,13.711100,12.164700
138,9.655296,5.362688,1.529856,1.958912,1.740800,3.926016,14.110200,12.208200
139,9.724928,5.320704,1.526784,1.946624,1.715200,4.039680,13.518000,11.759000
140,9.702400,5.343232,1.526784,1.950720,1.732608,3.991552,13.932300,12.136500
141,9.654272,5.347328,1.542144,1.949696,1.721344,3.939328,13.758200,11.264600
142,9.659392,5.331968,1.529856,1.954816,1.713152,3.960832,13.956200,12.189200
143,9.713664,5.679104,1.547264,1.951744,1.732608,3.668992,13.794800,12.165800
144,9.626624,5.334016,1.538048,1.950720,1.711104,3.927040,14.259600,12.560900
145,9.750528,5.332992,1.529856,1.950720,1.720320,4.054016,13.400500,11.757600
146,9.678848,5.371904,1.546240,1.951744,1.740800,3.937280,13.899600,12.020400
147,9.737216,5.337088,1.537024,1.950720,1.716224,4.036608,14.160300,12.507000
148,9.698304,5.370880,1.528832,1.980416,1.729536,3.959808,13.721400,12.206500
149,9.707520,5.680128,1.532928,1.980416,1.719296,3.658752,13.558600,11.741200
150,9.694208,5.384192,1.550336,1.981440,1.720320,3.941376,14.025200,12.209500
151,9.742336,5.322752,1.525760,1.955840,1.708032,4.057088,13.619600,12.047300
152,9.624576,5.359616,1.538048,1.959936,1.728512,3.896320,14.064000,12.485600
153,9.759744,5.353472,1.549312,1.953792,1.715200,4.043776,13.736100,11.715000
154,9.634816,5.352448,1.525760,1.977344,1.718272,3.914752,13.842800,11.985900
155,9.664512,5.371904,1.542144,1.978368,1.718272,3.924992,13.775300,12.181100
156,9.647104,5.371904,1.547264,1.976320,1.714176,3.909632,13.985000,12.411500
157,9.700352,5.657600,1.536000,1.951744,1.718272,3.674112,13.828200,12.241200
158,9.635840,5.348352,1.541120,1.948672,1.726464,3.920896,14.150900,12.415400
159,9.737216,5.342208,1.537024,1.957888,1.713152,4.030464,13.714600,12.095600
160,9.726976,5.357568,1.530880,1.983488,1.711104,4.000768,13.799600,12.169200
161,9.779200,5.364736,1.539072,1.971200,1.722368,4.047872,13.826500,12.141600
162,9.795584,5.367808,1.538048,1.979392,1.718272,4.060160,13.965300,12.154200
163,9.777152,5.359616,1.532928,1.956864,1.735680,4.054016,13.774700,12.193400
164,9.791488,5.352448,1.545216,1.951744,1.721344,4.072448,14.007700,12.373000
165,9.829376,5.352448,1.540096,1.954816,1.724416,4.111360,13.778800,12.096500
166,9.807872,5.364736,1.528832,1.986560,1.716224,4.077568,13.787400,12.199400
167,9.776128,5.372928,1.544192,1.981440,1.714176,4.038656,14.191900,12.496800
168,9.806848,5.380096,1.537024,1.986560,1.723392,4.060160,13.455100,11.664400
169,9.739264,5.329920,1.532928,1.946624,1.717248,4.045824,13.818100,11.820500
170,9.786368,5.336064,1.540096,1.952768,1.711104,4.085760,13.755700,11.710600
171,9.643008,5.355520,1.538048,1.949696,1.736704,3.920896,14.256500,12.522200
172,9.804800,5.373952,1.530880,1.987584,1.723392,4.064256,13.945800,12.276800
173,9.854976,5.475328,1.632256,1.975296,1.732608,4.014080,13.540200,11.598500
174,9.797632,5.354496,1.529856,1.989632,1.702912,4.075520,13.770800,11.981400
175,9.755648,5.351424,1.537024,1.953792,1.726464,4.040704,14.127000,12.329100
176,9.793536,5.343232,1.527808,1.959936,1.722368,4.076544,13.813700,12.032800
177,9.733120,5.340160,1.534976,1.951744,1.720320,4.029440,13.585400,11.945600
178,9.774080,5.360640,1.531904,1.979392,1.716224,4.041728,13.827000,12.026700
